AwardId,Name,CityName,ZipCode,PhoneNumber,StreetAddress,CountryName,StateName,StateCode,EmailAddress,CountryFlag
0958723,"Berkeley Geochronology Center",Berkeley,947091211,5106449200,"2455 Ridge Road","United States",California,CA,NULL,NULL
0958859,"Rutgers University New Brunswick","NEW BRUNSWICK",089018559,8489320150,"3 RUTGERS PLAZA","United States","New Jersey",NJ,NULL,NULL
0958915,"University of Utah","SALT LAKE CITY",841128930,8015816903,"75 S 2000 E","United States",Utah,UT,NULL,NULL
0958976,"Columbia University","NEW YORK",100276902,2128546851,"2960 Broadway","United States","New York",NY,NULL,NULL
0959107,"University of Arizona",TUCSON,857210001,5206266000,"888 N Euclid Ave","United States",Arizona,AZ,NULL,NULL
0961151,"University of Hawaii",HONOLULU,968222234,8089567800,"2440 Campus Road, Box 368","United States",Hawaii,HI,NULL,NULL
0961680,"Woods Hole Oceanographic Institution","WOODS HOLE",025431041,5082892462,"183 OYSTER POND ROAD","United States",Massachusetts,MA,NULL,NULL
1030650,"Columbia University","NEW YORK",100276902,2128546851,"2960 Broadway","United States","New York",NY,NULL,NULL
1031769,"William Marsh Rice University",HOUSTON,770051827,7133484820,"6100 MAIN ST","United States",Texas,TX,NULL,NULL
1036211,"Carnegie-Mellon University",PITTSBURGH,152133815,4122689527,"5000 Forbes Avenue","United States",Pennsylvania,PA,NULL,NULL
1058367,"University of Alaska Fairbanks Campus",Fairbanks,997757270,9074741851,"West Ridge Research Bldg 008","United States",Alaska,AK,NULL,NULL
1112704,"Clemson University",CLEMSON,296340001,8646562424,"300 BRACKETT HALL","United States","South Carolina",SC,NULL,NULL
1112830,"G & A Technical Software, Inc.","Newport News",236060000,7578735920,"11864 Canon Blvd","United States",Virginia,VA,NULL,NULL
1128104,"University of Delaware",Newark,197162553,3028312136,"210 Hullihen Hall","United States",Delaware,DE,NULL,NULL
1128221,"Woods Hole Oceanographic Institution","WOODS HOLE",025431041,5082892462,"183 OYSTER POND ROAD","United States",Massachusetts,MA,NULL,NULL
1128746,"North Carolina State University",RALEIGH,276957514,9195152444,"CAMPUS BOX 7514","United States","North Carolina",NC,NULL,NULL
1128753,"Miami University",Oxford,450563653,5135292161,"500 E High Street","United States",Ohio,OH,NULL,NULL
1128867,"Carnegie Institution of Washington",WASHINGTON,200051910,2023876400,"1530 P ST NW","United States","District of Columbia",DC,NULL,NULL
1128890,"University of Georgia Research Foundation Inc",ATHENS,306025016,7065425939,"200 D.W. Brooks Drive","United States",Georgia,GA,NULL,NULL
1128957,"SUNY at Stony Brook","STONY BROOK",117943362,6316329949,"WEST 5510 FRK MEL LIB","United States","New York",NY,NULL,NULL
1131371,"Rutgers University New Brunswick","NEW BRUNSWICK",089018559,8489320150,"3 RUTGERS PLAZA","United States","New Jersey",NJ,NULL,NULL
1131767,"Oregon State University",Corvallis,973318507,5417374933,"OREGON STATE UNIVERSITY","United States",Oregon,OR,NULL,NULL
1139321,"Stanford University","Palo Alto",943041212,6507232300,"3160 Porter Drive","United States",California,CA,NULL,NULL
1140742,"California College of the Arts","San Francisco",941072247,5105943661,"1111 Eighth Street","United States",California,CA,NULL,NULL
1140860,"California State University, Chico Research Fdtn",Chico,959290870,5308985700,"Office of Sponsored Programs","United States",California,CA,NULL,NULL
1141007,"Davidson College",Davidson,280357149,7048942644,"Box 7149","United States","North Carolina",NC,NULL,NULL
