employeeid,occupation_orig,occupationalclassification
90014540,FACULTY,Faculty
90026679,FACULTY,Faculty
90017693,FACULTY,Faculty
90028696,FACULTY,Faculty
90013819,FACULTY,Faculty
90001118,FACULTY,Faculty
90001300,FACULTY,Faculty
90023086,FACULTY,Faculty
90017074,FACULTY,Faculty
90025003,FACULTY,Faculty
90000321,FACULTY,Faculty
90001779,FACULTY,Faculty
90012327,FACULTY,Faculty
6663,FACULTY,Faculty
90028695,FACULTY,Faculty
90013011,FACULTY,Faculty
90004139,FACULTY,Faculty
90002533,FACULTY,Faculty
90022882,FACULTY,Faculty
90027179,FACULTY,Faculty
90022510,FACULTY,Faculty
90003404,FACULTY,Faculty
90008134,FACULTY,Faculty
90030018,FACULTY,Faculty
90000578,FACULTY,Faculty
90029948,FACULTY,Faculty
90002983,FACULTY,Faculty
15578,FACULTY,Faculty
90002137,FACULTY,Faculty
90001236,FACULTY,Faculty
90026041,FACULTY,Faculty
90011224,FACULTY,Faculty
90023991,FACULTY,Faculty
90002188,FACULTY,Faculty
90001220,FACULTY,Faculty
90024938,FACULTY,Faculty
90029066,FACULTY,Faculty
90004190,FACULTY,Faculty
90002101,FACULTY,Faculty
90003388,FACULTY,Faculty
90024231,FACULTY,Faculty
90008150,FACULTY,Faculty
90001275,FACULTY,Faculty
90013746,FACULTY,Faculty
90023233,FACULTY,Faculty
90028078,FACULTY,Faculty
90003871,FACULTY,Faculty
90023729,FACULTY,Faculty
90026022,FACULTY,Faculty
90000377,FACULTY,Faculty
90025524,FACULTY,Faculty
90025307,FACULTY,Faculty
90012158,FACULTY,Faculty
90003524,FACULTY,Faculty
90002314,FACULTY,Faculty
90000762,FACULTY,Faculty
90004300,FACULTY,Faculty
90001702,FACULTY,Faculty
90001761,FACULTY,Faculty
90027119,FACULTY,Faculty
90003177,FACULTY,Faculty
90003152,FACULTY,Faculty
90003067,FACULTY,Faculty
90021657,FACULTY,Faculty
90000355,FACULTY,Faculty
90030105,FACULTY,Faculty
90021968,FACULTY,Faculty
90024889,FACULTY,Faculty
90017844,FACULTY,Faculty
90005171,FACULTY,Faculty
90027984,FACULTY,Faculty
90025493,FACULTY,Faculty
90000443,FACULTY,Faculty
90004047,FACULTY,Faculty
90012498,FACULTY,Faculty
90027652,FACULTY,Faculty
90027653,FACULTY,Faculty
90015542,FACULTY,Faculty
90028626,FACULTY,Faculty
90023931,FACULTY,Faculty
90011148,FACULTY,Faculty
90000527,FACULTY,Faculty
90026549,FACULTY,Faculty
90000014,FACULTY,Faculty
90024711,FACULTY,Faculty
90011199,FACULTY,Faculty
90029947,FACULTY,Faculty
90002038,FACULTY,Faculty
90000714,FACULTY,Faculty
90001379,FACULTY,Faculty
90027086,FACULTY,Faculty
90028002,FACULTY,Faculty
90000440,FACULTY,Faculty
90000703,FACULTY,Faculty
8391,FACULTY,Faculty
90008329,FACULTY,Faculty
90028721,FACULTY,Faculty
90017049,FACULTY,Faculty
90030006,FACULTY,Faculty
90028688,FACULTY,Faculty
90024115,FACULTY,Faculty
90029250,FACULTY,Faculty
90018077,FACULTY,Faculty
90003690,FACULTY,Faculty
90000842,FACULTY,Faculty
90019711,FACULTY,Faculty
90023198,FACULTY,Faculty
90026339,FACULTY,Faculty
90027546,FACULTY,Faculty
90025902,FACULTY,Faculty
90003609,FACULTY,Faculty
90001113,FACULTY,Faculty
90004765,FACULTY,Faculty
90025775,FACULTY,Faculty
90027851,FACULTY,Faculty
90027472,FACULTY,Faculty
90027224,FACULTY,Faculty
13534,FACULTY,Faculty
90025823,FACULTY,Faculty
90027621,FACULTY,Faculty
90022826,FACULTY,Faculty
90002584,FACULTY,Faculty
90014223,FACULTY,Faculty
90002499,FACULTY,Faculty
90027042,FACULTY,Faculty
90026488,FACULTY,Faculty
90028215,FACULTY,Faculty
90024523,FACULTY,Faculty
90023224,FACULTY,Faculty
90029156,FACULTY,Faculty
90007120,FACULTY,Faculty
90003591,FACULTY,Faculty
90002743,FACULTY,Faculty
90001442,FACULTY,Faculty
90000820,FACULTY,Faculty
90003805,FACULTY,Faculty
90005564,FACULTY,Faculty
90011262,FACULTY,Faculty
90013757,FACULTY,Faculty
6831,FACULTY,Faculty
6782,FACULTY,Faculty
90022301,FACULTY,Faculty
90009602,FACULTY,Faculty
90028614,FACULTY,Faculty
90025198,FACULTY,Faculty
90029620,FACULTY,Faculty
90026012,FACULTY,Faculty
90021622,FACULTY,Faculty
90023237,FACULTY,Faculty
90010462,FACULTY,Faculty
90005049,FACULTY,Faculty
90001284,FACULTY,Faculty
90024321,FACULTY,Faculty
90022762,FACULTY,Faculty
90025450,FACULTY,Faculty
90021847,FACULTY,Faculty
90000078,FACULTY,Faculty
90001654,FACULTY,Faculty
8826,FACULTY,Faculty
90026243,FACULTY,Faculty
90000910,FACULTY,Faculty
90026493,FACULTY,Faculty
90029029,FACULTY,Faculty
90026373,FACULTY,Faculty
90029292,FACULTY,Faculty
90004840,FACULTY,Faculty
90006177,FACULTY,Faculty
90002163,FACULTY,Faculty
90028581,FACULTY,Faculty
90018838,FACULTY,Faculty
90013987,FACULTY,Faculty
90026788,FACULTY,Faculty
1955,FACULTY,Faculty
90017937,FACULTY,Faculty
90003698,FACULTY,Faculty
90001538,FACULTY,Faculty
90028824,FACULTY,Faculty
8752,FACULTY,Faculty
90025473,FACULTY,Faculty
90001697,FACULTY,Faculty
90025788,FACULTY,Faculty
90000019,FACULTY,Faculty
90000743,FACULTY,Faculty
90024453,FACULTY,Faculty
90023463,FACULTY,Faculty
90003500,FACULTY,Faculty
90002305,FACULTY,Faculty
90028344,FACULTY,Faculty
90002219,FACULTY,Faculty
90023875,FACULTY,Faculty
90026993,FACULTY,Faculty
90008137,FACULTY,Faculty
90027360,FACULTY,Faculty
90012940,FACULTY,Faculty
90004265,FACULTY,Faculty
90000825,FACULTY,Faculty
90030269,FACULTY,Faculty
90024897,FACULTY,Faculty
1893,FACULTY,Faculty
90024363,FACULTY,Faculty
90024643,FACULTY,Faculty
90027209,FACULTY,Faculty
90025384,FACULTY,Faculty
90025273,FACULTY,Faculty
98101785,FACULTY,Faculty
90020955,FACULTY,Faculty
90027436,FACULTY,Faculty
90001063,FACULTY,Faculty
90028340,FACULTY,Faculty
90004470,FACULTY,Faculty
90000695,FACULTY,Faculty
90018558,FACULTY,Faculty
90003051,FACULTY,Faculty
90027359,FACULTY,Faculty
90029124,FACULTY,Faculty
90001830,FACULTY,Faculty
90000101,FACULTY,Faculty
90014135,FACULTY,Faculty
90025779,FACULTY,Faculty
90001819,FACULTY,Faculty
90028228,FACULTY,Faculty
90000643,FACULTY,Faculty
90021775,FACULTY,Faculty
90028117,FACULTY,Faculty
90021792,FACULTY,Faculty
90003776,FACULTY,Faculty
90029352,FACULTY,Faculty
90007107,FACULTY,Faculty
90000406,FACULTY,Faculty
90003194,FACULTY,Faculty
90023255,FACULTY,Faculty
90022763,FACULTY,Faculty
90026822,FACULTY,Faculty
90000631,FACULTY,Faculty
90000760,FACULTY,Faculty
90026898,FACULTY,Faculty
90004472,FACULTY,Faculty
90028781,FACULTY,Faculty
98101941,FACULTY,Faculty
90001461,FACULTY,Faculty
16578,FACULTY,Faculty
90024642,FACULTY,Faculty
1646,FACULTY,Faculty
90008389,FACULTY,Faculty
90028845,FACULTY,Faculty
90026452,FACULTY,Faculty
90028246,FACULTY,Faculty
90024603,FACULTY,Faculty
90001528,FACULTY,Faculty
90000016,FACULTY,Faculty
90025445,FACULTY,Faculty
90025970,FACULTY,Faculty
90029332,FACULTY,Faculty
90012285,FACULTY,Faculty
90019945,FACULTY,Faculty
90025142,FACULTY,Faculty
90014760,FACULTY,Faculty
90029887,FACULTY,Faculty
90003207,FACULTY,Faculty
90029444,FACULTY,Faculty
90003650,FACULTY,Faculty
90026915,FACULTY,Faculty
90028031,FACULTY,Faculty
90023954,FACULTY,Faculty
90006191,FACULTY,Faculty
90003612,FACULTY,Faculty
90006295,FACULTY,Faculty
90028055,FACULTY,Faculty
90016818,FACULTY,Faculty
90009583,FACULTY,Faculty
90027183,FACULTY,Faculty
90002301,FACULTY,Faculty
90001518,FACULTY,Faculty
90000919,FACULTY,Faculty
90024693,FACULTY,Faculty
90001652,FACULTY,Faculty
90025754,FACULTY,Faculty
90022371,FACULTY,Faculty
90024665,FACULTY,Faculty
90002437,FACULTY,Faculty
90019735,FACULTY,Faculty
8791,FACULTY,Faculty
90025201,FACULTY,Faculty
8383,FACULTY,Faculty
90005191,FACULTY,Faculty
90026589,FACULTY,Faculty
90000674,FACULTY,Faculty
90002196,FACULTY,Faculty
90028746,FACULTY,Faculty
90002152,FACULTY,Faculty
90001611,FACULTY,Faculty
90028710,FACULTY,Faculty
