employeeid,occupation_orig,occupationalclassification
90029218,FACULTY,Faculty
90001067,FACULTY,Faculty
90003053,FACULTY,Faculty
90000830,FACULTY,Faculty
90000962,FACULTY,Faculty
90023174,FACULTY,Faculty
90004380,FACULTY,Faculty
90022594,FACULTY,Faculty
90024823,FACULTY,Faculty
90027091,FACULTY,Faculty
90000149,FACULTY,Faculty
90029742,FACULTY,Faculty
90000939,FACULTY,Faculty
90003090,FACULTY,Faculty
90004460,FACULTY,Faculty
90000303,FACULTY,Faculty
2453,FACULTY,Faculty
90003230,FACULTY,Faculty
90029002,FACULTY,Faculty
90028035,FACULTY,Faculty
90000057,FACULTY,Faculty
90030144,FACULTY,Faculty
90023321,FACULTY,Faculty
90026309,FACULTY,Faculty
17703,FACULTY,Faculty
90023377,FACULTY,Faculty
90022267,FACULTY,Faculty
90015184,FACULTY,Faculty
90005609,FACULTY,Faculty
90013314,FACULTY,Faculty
90004103,FACULTY,Faculty
90026073,FACULTY,Faculty
90000253,FACULTY,Faculty
90026630,FACULTY,Faculty
90010915,FACULTY,Faculty
90022503,FACULTY,Faculty
90026304,FACULTY,Faculty
90029080,FACULTY,Faculty
90004328,FACULTY,Faculty
90006178,FACULTY,Faculty
90006351,FACULTY,Faculty
90026432,FACULTY,Faculty
90025170,FACULTY,Faculty
90002350,FACULTY,Faculty
90000428,FACULTY,Faculty
90001841,FACULTY,Faculty
90016069,FACULTY,Faculty
90000306,FACULTY,Faculty
90002894,FACULTY,Faculty
90027824,FACULTY,Faculty
90002165,FACULTY,Faculty
90030259,FACULTY,Faculty
90025691,FACULTY,Faculty
13432,FACULTY,Faculty
90013461,FACULTY,Faculty
90000178,FACULTY,Faculty
90001462,FACULTY,Faculty
90028811,FACULTY,Faculty
90029904,FACULTY,Faculty
90027373,FACULTY,Faculty
90023803,FACULTY,Faculty
90014359,FACULTY,Faculty
90004484,FACULTY,Faculty
90016713,FACULTY,Faculty
90004346,FACULTY,Faculty
90025088,FACULTY,Faculty
90028952,FACULTY,Faculty
90010720,FACULTY,Faculty
90002493,FACULTY,Faculty
90026951,FACULTY,Faculty
90028264,FACULTY,Faculty
10408,FACULTY,Faculty
90029880,FACULTY,Faculty
90022578,FACULTY,Faculty
4129,FACULTY,Faculty
90028968,FACULTY,Faculty
90029082,FACULTY,Faculty
90001738,FACULTY,Faculty
90029211,FACULTY,Faculty
90027713,FACULTY,Faculty
90000769,FACULTY,Faculty
90016457,FACULTY,Faculty
90008191,FACULTY,Faculty
90029070,FACULTY,Faculty
90001104,FACULTY,Faculty
90030008,FACULTY,Faculty
90001590,FACULTY,Faculty
90027626,FACULTY,Faculty
90025826,FACULTY,Faculty
90025105,FACULTY,Faculty
90029307,FACULTY,Faculty
90027068,FACULTY,Faculty
90004398,FACULTY,Faculty
90008441,FACULTY,Faculty
90025360,FACULTY,Faculty
90000675,FACULTY,Faculty
90024546,FACULTY,Faculty
90018494,FACULTY,Faculty
90028339,FACULTY,Faculty
90002039,FACULTY,Faculty
90002836,FACULTY,Faculty
90026954,FACULTY,Faculty
90001107,FACULTY,Faculty
90001295,FACULTY,Faculty
90029034,FACULTY,Faculty
90024408,FACULTY,Faculty
90012375,FACULTY,Faculty
11243,FACULTY,Faculty
90000138,FACULTY,Faculty
90002148,FACULTY,Faculty
90022370,FACULTY,Faculty
90023091,FACULTY,Faculty
90029077,FACULTY,Faculty
90026546,FACULTY,Faculty
90024261,FACULTY,Faculty
90027645,FACULTY,Faculty
90013917,FACULTY,Faculty
90026574,FACULTY,Faculty
90001204,FACULTY,Faculty
90001259,FACULTY,Faculty
90001160,FACULTY,Faculty
90000836,FACULTY,Faculty
90001900,FACULTY,Faculty
90001085,FACULTY,Faculty
90002793,FACULTY,Faculty
90000271,FACULTY,Faculty
90028986,FACULTY,Faculty
90014950,FACULTY,Faculty
90014398,FACULTY,Faculty
90001249,FACULTY,Faculty
90023595,FACULTY,Faculty
90002766,FACULTY,Faculty
90023592,FACULTY,Faculty
90025008,FACULTY,Faculty
90001329,FACULTY,Faculty
90028426,FACULTY,Faculty
90022903,FACULTY,Faculty
90004437,FACULTY,Faculty
90025090,FACULTY,Faculty
90027044,FACULTY,Faculty
90027445,FACULTY,Faculty
90025712,FACULTY,Faculty
90000111,FACULTY,Faculty
90024635,FACULTY,Faculty
90001024,FACULTY,Faculty
90024409,FACULTY,Faculty
90024997,FACULTY,Faculty
90024959,FACULTY,Faculty
90029236,FACULTY,Faculty
90022606,FACULTY,Faculty
90027355,FACULTY,Faculty
90003932,FACULTY,Faculty
90001924,FACULTY,Faculty
90028511,FACULTY,Faculty
90000809,FACULTY,Faculty
90002610,FACULTY,Faculty
90028726,FACULTY,Faculty
90001990,FACULTY,Faculty
90000931,FACULTY,Faculty
90029133,FACULTY,Faculty
90002450,FACULTY,Faculty
90028906,FACULTY,Faculty
90028379,FACULTY,Faculty
90026163,FACULTY,Faculty
90005196,FACULTY,Faculty
90019994,FACULTY,Faculty
90019647,FACULTY,Faculty
90026974,FACULTY,Faculty
90003716,FACULTY,Faculty
90002939,FACULTY,Faculty
90028778,FACULTY,Faculty
90015241,FACULTY,Faculty
90013306,FACULTY,Faculty
90009719,FACULTY,Faculty
90027929,FACULTY,Faculty
90003461,FACULTY,Faculty
90024517,FACULTY,Faculty
90026649,FACULTY,Faculty
90026307,FACULTY,Faculty
90004115,FACULTY,Faculty
90025485,FACULTY,Faculty
90023310,FACULTY,Faculty
90000300,FACULTY,Faculty
90000180,FACULTY,Faculty
